                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94128,                0.65133,                0.91528,                 0.8464,                0.87772,                0.86889,                0.66041,                0.94134,                 0.6621,                0.96773,              0.0012366,              0.0012366,              0.0012366
                     36,                0.93056,                0.63349,                0.90701,                0.85062,                0.89903,                0.83759,                0.63329,                0.93672,                 0.6142,                0.96815,              0.0012309,              0.0012309,              0.0012309
                     37,                0.92038,                0.62538,                0.90144,                0.86874,                0.88149,                0.87951,                0.67199,                0.93214,                0.60739,                0.96497,              0.0012253,              0.0012253,              0.0012253
                     38,                0.91401,                0.61543,                0.90472,                0.92167,                0.86695,                0.91137,                0.70481,                0.90855,                0.54363,                0.96666,              0.0012196,              0.0012196,              0.0012196
                     39,                0.90457,                0.61256,                0.90112,                0.91958,                 0.8913,                0.91988,                0.71396,                0.89536,                0.56524,                0.94915,               0.001214,               0.001214,               0.001214
                     40,                0.90879,                0.59527,                0.89859,                0.92125,                0.87749,                0.92024,                 0.7116,                0.89546,                0.55292,                0.93778,              0.0012083,              0.0012083,              0.0012083
                     41,                0.89908,                0.60296,                0.89491,                0.91547,                0.88836,                 0.9213,                0.70786,                0.88109,                0.52708,                 0.9385,              0.0012026,              0.0012026,              0.0012026
                     42,                0.90178,                0.59913,                 0.8999,                0.85918,                0.90333,                0.87448,                0.67344,                0.92311,                0.60175,                0.96506,               0.001197,               0.001197,               0.001197
                     43,                0.89289,                0.60855,                0.90446,                0.91579,                0.88796,                0.92973,                0.71623,                0.90947,                  0.575,                0.94378,              0.0011913,              0.0011913,              0.0011913
                     44,                0.88894,                0.59393,                0.89034,                0.90852,                0.89845,                0.89167,                0.68243,                0.90998,                0.53976,                0.95355,              0.0011857,              0.0011857,              0.0011857
                     45,                 0.8843,                0.58453,                0.88814,                0.88659,                0.90755,                0.88984,                 0.6896,                0.88542,                0.57311,                0.94382,                0.00118,                0.00118,                0.00118
                     46,                0.88983,                0.60911,                0.89572,                0.93133,                 0.8938,                0.92314,                0.71814,                0.87593,                0.54684,                0.94662,              0.0011744,              0.0011744,              0.0011744
                     47,                0.88312,                0.58376,                0.88704,                0.90602,                0.87956,                0.91432,                0.70826,                0.90391,                0.55184,                0.96519,              0.0011687,              0.0011687,              0.0011687
                     48,                0.88762,                  0.604,                0.89567,                0.90358,                0.90754,                0.94313,                0.72899,                0.85976,                0.51378,                0.92466,               0.001163,               0.001163,               0.001163
                     49,                0.87056,                0.57972,                0.89428,                0.91407,                0.90417,                0.92608,                0.72245,                0.89492,                0.54219,                0.96067,              0.0011574,              0.0011574,              0.0011574
                     50,                0.87595,                0.58406,                0.89062,                0.90138,                0.90837,                0.92043,                 0.7229,                0.84687,                0.54165,                 0.9368,              0.0011517,              0.0011517,              0.0011517
                     51,                0.87922,                0.58879,                0.89683,                0.89965,                0.88676,                0.90874,                 0.7178,                0.85366,                0.53471,                0.93308,              0.0011461,              0.0011461,              0.0011461
                     52,                0.85051,                0.56918,                0.88846,                0.88737,                  0.918,                0.91269,                0.70343,                0.88933,                0.54768,                0.94695,              0.0011404,              0.0011404,              0.0011404
                     53,                0.85442,                  0.571,                0.89273,                0.89867,                0.88854,                0.91542,                0.72015,                0.86818,                0.51809,                0.95036,              0.0011347,              0.0011347,              0.0011347
                     54,                0.85828,                0.57002,                0.89298,                0.86722,                0.90655,                0.88176,                0.68772,                0.88234,                0.56637,                0.95938,              0.0011291,              0.0011291,              0.0011291
                     55,                0.85186,                0.56363,                0.88234,                0.87487,                0.92189,                0.92937,                  0.733,                0.87455,                0.50255,                0.95027,              0.0011234,              0.0011234,              0.0011234
                     56,                0.84641,                0.56643,                0.88508,                0.90446,                  0.893,                0.91998,                0.71741,                0.87534,                0.51749,                0.95193,              0.0011178,              0.0011178,              0.0011178
                     57,                0.84443,                0.56237,                0.88346,                0.86436,                0.91187,                0.89933,                0.69927,                0.89839,                0.53358,                0.96192,              0.0011121,              0.0011121,              0.0011121
                     58,                0.84877,                0.56437,                0.87614,                0.91244,                0.87717,                0.93246,                0.72651,                0.89629,                0.52773,                 0.9651,              0.0011064,              0.0011064,              0.0011064
                     59,                0.82939,                0.54834,                0.88002,                0.92695,                0.89713,                0.91838,                0.71589,                0.87059,                0.52496,                0.95252,              0.0011008,              0.0011008,              0.0011008
                     60,                0.83079,                0.55245,                 0.8852,                0.90721,                0.92391,                 0.9191,                0.71389,                0.89551,                0.55908,                0.96237,              0.0010951,              0.0010951,              0.0010951
                     61,                0.82726,                0.55453,                0.88302,                0.89773,                0.91216,                0.92705,                 0.7267,                0.88955,                0.56447,                0.95191,              0.0010895,              0.0010895,              0.0010895
                     62,                0.82542,                0.54632,                0.87571,                0.88846,                0.89589,                0.91152,                0.71482,                0.83801,                0.55097,                0.92211,              0.0010838,              0.0010838,              0.0010838
                     63,                0.81907,                0.55396,                0.87833,                0.93296,                0.88254,                0.92783,                0.72746,                0.83771,                0.50745,                0.93355,              0.0010782,              0.0010782,              0.0010782
                     64,                0.83932,                0.55651,                0.88198,                0.89306,                0.90639,                0.89783,                0.70046,                0.87257,                0.52289,                0.95235,              0.0010725,              0.0010725,              0.0010725
                     65,                0.83027,                0.55557,                0.88089,                0.88693,                0.92133,                 0.9021,                0.70677,                0.87295,                0.54512,                0.95535,              0.0010668,              0.0010668,              0.0010668
                     66,                0.81654,                0.53762,                0.87654,                0.91193,                0.92167,                0.93175,                0.73383,                0.81939,                0.50137,                0.91449,              0.0010612,              0.0010612,              0.0010612
